timestamp,latitude,longitude
1749572185,-39.2063,155.7003
1749572198,-38.7004,156.5079
1749572208,-38.3069,157.1209
1749572218,-37.9099,157.7267
1749572236,-37.2066,158.7702
1749572261,-36.1841,160.2251
1749572271,-35.7695,160.7955
1749572281,-35.3518,161.3596
1749572298,-34.6137,162.3319
1749572309,-34.1452,162.9335
1749572320,-33.7163,163.4742
1749572333,-33.1547,164.1684
1749572350,-32.4138,165.0618
1749572360,-31.9744,165.5799
1749572377,-31.2221,166.4485
1749572387,-30.7539,166.9776
1749572400,-30.1708,167.6249
1749572551,-23.1581,174.5972
1749572561,-22.6804,175.0281
1749572571,-22.2014,175.4558
1749572613,-20.1749,177.2181
1749572623,-19.6892,177.6301
1749572634,-19.2024,178.0393
1749572651,-18.3723,178.7290
1749572676,-17.1461,179.7301
1749572701,-15.8892,-179.2637
1749572719,-15.0232,-178.5813
1749572729,-14.5272,-178.1940
1749572739,-14.0305,-177.8087
1749572749,-13.5330,-177.4253
1749572759,-13.0349,-177.0437
1749572769,-12.5360,-176.6637
1749572779,-12.0364,-176.2853
1749572792,-11.3860,-175.7958
1749572802,-10.8850,-175.4210
1749572812,-10.3834,-175.0474
1749572822,-9.8813,-174.6753
1749572832,-9.3787,-174.3044
1749572842,-8.8755,-173.9346
1749572852,-8.3720,-173.5661
1749572865,-7.6915,-173.0701
1749572875,-7.1869,-172.7039
1749572892,-6.3284,-172.0834
1749572902,-5.8229,-171.7194
1749572912,-5.3171,-171.3562
1749572922,-4.8109,-170.9936
1749572933,-4.3046,-170.6316
1749572943,-3.7980,-170.2701
1749572953,-3.2913,-169.9092
1749572963,-2.7843,-169.5485
1749572973,-2.2773,-169.1883
1749572983,-1.7701,-168.8284
1749573000,-0.8823,-168.1989
1749573010,-0.3749,-167.8394
1749573052,1.7561,-166.3291
1749573063,2.3141,-165.9331
1749573074,2.8719,-165.5367
1749573091,3.7337,-164.9233
1749573101,4.2403,-164.5618
1749573111,4.7469,-164.1997
1749573137,6.0374,-163.2737
1749573162,7.3259,-162.3428
1749573180,8.2089,-161.7004
1749573205,9.4681,-160.7771
1749573230,10.7495,-159.8274
1749573248,11.6268,-159.1705
1749573258,12.1273,-158.7931
1749573268,12.6272,-158.4141
1749573293,13.8739,-157.4592
1749573319,15.1409,-156.4733
1749573336,16.0074,-155.7892
1749573346,16.5014,-155.3953
